"","data","ano","mes","tipo","descrição","valor"
"1253",2016-08-26,"2016","Aug","lazer","netflix ",23
"1254",2016-08-26,"2016","Aug","telefonia","tim erick & aline",100
"1255",2016-08-26,"2016","Aug","investimento","pic (9/21)",82
"1256",2016-08-27,"2016","Aug","telefonia","vivo ",80
"1257",2016-08-27,"2016","Aug","beleza","cabelo ",30
"1258",2016-08-27,"2016","Aug","seguros","mafre",260
"1259",2016-08-27,"2016","Aug","alimentação","pao do ma",5.89
"1260",2016-08-29,"2016","Aug","alimentação","hitamax",5.88
"1261",2016-08-30,"2016","Aug","moradia","conta água",62
"1262",2016-09-01,"2016","Sep","pagamentos","cx itau av xv de nov",120
"1263",2016-09-10,"2016","Sep","alimentação","feira ",100
"1264",2016-09-11,"2016","Sep","pagamentos","saque ",30
"1265",2016-09-11,"2016","Sep","alimentação","coop capu",100.48
"1266",2016-09-15,"2016","Sep","saúde","convênio ",278
"1267",2016-09-15,"2016","Sep","educação","kung fu",130
"1268",2016-09-20,"2016","Sep","pagamentos","saque ",70
"1269",2016-09-21,"2016","Sep","moradia","luz",120
"1270",2016-09-25,"2016","Sep","pagamentos","bco24h",80
"1271",2016-09-25,"2016","Sep","equipamentos","tim",10
"1272",2016-09-26,"2016","Sep","corolla","mercadopago (3/3)",52.04
"1273",2016-09-26,"2016","Sep","corolla","webmotors (3/3)",49.97
"1274",2016-09-26,"2016","Sep","educação","unipet (2/10)",198.9
"1275",2016-09-26,"2016","Sep","pet","pet shop dr hato (2/3)",69.3
"1276",2016-09-26,"2016","Sep","alimentação","hitamax",16.55
"1277",2016-09-26,"2016","Sep","alimentação","sacolao saude st",84.67
"1278",2016-09-26,"2016","Sep","transporte","carrefour pso 409",90.32
"1279",2016-09-26,"2016","Sep","investimento","uber*uber br aug15 3se",22.99
"1280",2016-09-26,"2016","Sep","equipamentos","loja wu lt epp",23
"1281",2016-09-26,"2016","Sep","steam","pagseguro*boacomp",14.99
"1282",2016-09-26,"2016","Sep","alimentação","coop capuava",26.54
